service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
C_Risk_Red_Ratio,hdi_raster_predictions_2020_mean,0.06218488137415895,4.264133380997552e-16,NA,9614,9065,0.7412162611643006,0.7286486439632976,0.7622741813085896,0.7417026931682191,0.5615242506777874,0.8984248047608787,0.548121401610518,0.901095065773426,0.020571488140370464,0.012567617201002967,0.5200878854850741,0.04017577097014824,2.4622612620261997e-5,2.220446049250313e-16,4.264133380997552e-16,2.814012870887085e-5,3.552713678800501e-16
Sed_Ret_Ratio,hdi_raster_predictions_2020_mean,0.04089581284767264,1.463331173046883e-56,NA,82488,72700,0.654792200955716,0.6577077768476182,0.6586539022463278,0.6690311957735999,0.45848046419807603,0.8304430928126447,0.44368246723509075,0.8320705077200522,-0.010377293527272125,-0.002915575891902167,0.4867747220653628,-0.02645055586927436,0,1.118671821842554e-11,1.6723784834821518e-56,0,1.4915624291234053e-11
Pollination,rast_adm1_gini_disp_2020_mean,0.19791361773364757,0,NA,45191,45157,0.41085165242960103,0.3615282082673437,0.3930000066757202,0.34200000762939453,0.2759999930858612,0.5529999732971191,0.23899999260902405,0.5230000019073486,0.050999999046325684,0.04932344416225731,0.6256621790343503,0.25132435806870057,1,0,0,1,0
Sed_export,rast_adm1_gini_disp_2020_mean,0.15685531507032524,0,NA,89726,89726,0.3844404303587778,0.35717973649797874,0.3540000021457672,0.3319999873638153,0.23800000548362732,0.5529999732971191,0.24799999594688416,0.5279447513593208,0.022000014781951904,0.027260693860799046,0.553253907671107,0.1065078153422141,0,0,0,0,0
Nature_Access,rast_adm1_gini_disp_2020_mean,0.1289192420981446,0,NA,79287,79205,0.3692220977912191,0.35364771427115327,0.3540000021457672,0.3319999873638153,0.2590000033378601,0.527999997138977,0.22699999809265137,0.5360000133514404,0.022000014781951904,0.015574383520065849,0.5618178087420345,0.12363561748406893,0,0,0,0,0
N_export,rast_adm1_gini_disp_2020_mean,0.10554994921588136,0,NA,89827,89690,0.373798108144576,0.3570217720355643,0.3490000069141388,0.3319999873638153,0.2669999897480011,0.5519999861717224,0.24555566226748185,0.5299999713897705,0.017000019550323486,0.01677633610901169,0.5577506331303359,0.11550126626067181,5.525168553021098e-4,0,0,7.366891404028131e-4,0
C_Risk,rast_adm1_gini_disp_2020_mean,0.1013005742826188,5.835196938311324e-62,NA,13830,13785,0.3317801712625626,0.34271749184023365,0.32199999690055847,0.32199999690055847,0.22699999809265137,0.4359999895095825,0.23199999332427979,0.4906000018119815,0,-0.01093732057767105,0.4764330563548095,-0.04713388729038104,0,0,6.668796500927227e-62,0,0
Sed_Ret_Ratio,rast_adm1_gini_disp_2020_mean,0.09562573121893087,0,NA,89796,89700,0.37305412822273565,0.35827983319661094,0.3499999940395355,0.3319999873638153,0.26100000739097595,0.5519999861717224,0.24799999594688416,0.531000018119812,0.018000006675720215,0.014774295026124706,0.5501392046051318,0.10027840921026354,0.0932289000338471,0,0,0.10654731432439668,0
N_Ret_Ratio,rast_adm1_gini_disp_2020_mean,0.06905158191520269,5.233209304809694e-186,NA,89651,89589,0.35108586115914986,0.3587726243513138,0.33500000834465027,0.3319999873638153,0.25600001215934753,0.47099998593330383,0.2460000067949295,0.5339999794960022,0.003000020980834961,-0.007686763192163937,0.4940276974277988,-0.011944605144402431,0,0,6.977612406412925e-186,0,0
C_Risk_Red_Ratio,rast_adm1_gini_disp_2020_mean,0.06349237718802937,1.5766211387820998e-22,NA,12650,12600,0.3360632797340364,0.34340184250956185,0.3149999976158142,0.3230000138282776,0.22699999809265137,0.4740000069141388,0.23199999332427979,0.4990454781456394,-0.008000016212463379,-0.00733856277552547,0.4814540247192421,-0.03709195056151582,0,0.030251084814756024,1.5766211387820998e-22,0,0.030251084814756024
N_Ret_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.3211735745235417,0,NA,89777,89777,928017737.8638237,114400321.99000838,17653309.711161137,501003.9181703571,20288.00518243611,785148113.7748241,0,110343066.20565607,17152305.79299078,813617415.8738153,0.7129498650989171,0.4258997301978342,1,0,0,1,0
Nature_Access,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.28986110060752734,0,NA,79338,79338,1048931367.2248938,109654211.81682865,14168959.803089052,847127.4324487299,61477.23361415416,1342788149.268179,0,99151438.02518824,13321832.370640323,939277155.4080652,0.7017674153555127,0.40353483071102536,0.9999495840685764,0,0,1,0
Pollination,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.279987618015787,0,NA,45227,45227,52311339.240944475,223014249.71178463,1149085.9538203145,10046802.637246728,0,55045661.460305534,103446.09601755143,290162059.54522043,-8897716.683426414,-170702910.47084016,0.31667344574686696,-0.3666531085062661,0,1,0,0,1
Sed_Ret_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.2485786446222143,0,NA,89879,89879,174956790.8630078,158904493.83895496,6585992.028536797,497170.6874665618,0,221259583.13542974,0,118471347.75102669,6088821.341070235,16052297.024052858,0.6427878408787111,0.2855756817574222,0.9581330657441617,0,0,1,0
N_export,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.18796113911795145,0,NA,89859,89859,497822039.18414944,138763955.15353462,3516095.501987882,547477.8016842008,0,216608415.82661024,0,123831320.56861036,2968617.700303681,359058084.03061485,0.6075748698767264,0.21514973975345275,1,0,0,1,0
C_Risk,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.12816820276497695,1.6647425141403544e-99,NA,13888,13888,466215328.1461022,623215340.0938797,6506246.783643484,1345019.581970796,0,1044086973.030242,0,622777817.8948369,5161227.201672688,-157000011.9477775,0.5692957563569783,0.13859151271395653,0.011512087382202885,0,1.902562873303262e-99,0.02302417476440577,0
Sed_export,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.08503181878866094,1.1319619918866085e-282,NA,89884,89884,83923610.61824486,155929628.1420446,438832.8775816709,612743.9782389253,0,49525063.365603894,0,126898044.11754516,-173911.10065725446,-72006017.52379975,0.47008934264843266,-0.059821314703134676,0,3.2290963406189643e-4,1.5092826558488112e-282,0,3.690395817850245e-4
C_Risk_Red_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.06779794790844514,1.0195254276914219e-25,NA,12670,12670,501118377.26250744,667528171.8673588,1892351.5105808303,2196561.9504586905,0,772549341.5361009,0,612116130.0326797,-304210.43987786025,-166409794.60485137,0.511513758581788,0.023027517163576094,4.440892098500626e-16,0,1.0195254276914219e-25,1.1842378929335002e-15,0
