"region_wb","N_export","Sed_export","C_Risk","Pollination","Nature_Access","n"
"East Asia & Pacific",3.82234235688709,1.56394854565846,0.0646342262269235,0.687031361496961,-3.8637288071675,245762
"Europe & Central Asia",0.729012214626516,2.12527865007371,0.0324717056016437,0.532132343861188,-0.816244878725049,284027
"Latin America & Caribbean",4.23031464345016,15.5706184804739,0.00219691793208953,-5.53805212148509,-5.09780428788409,203748
"Middle East & North Africa",2.71645413430027,-0.102509492676356,0.0965940655635345,4.97046081029609,-5.69617846959428,109270
"North America",0.952288038596267,5.95491978994626,0.0301799387010009,-1.3157370890175,-1.39985656863285,189998
"South Asia",2.30027223407145,-4.13339746753511,-0.106697117450829,4.35558030351203,-0.909218403165318,50272
"Sub-Saharan Africa",1.62767757829059,-0.698907449407461,0.0826699481568419,3.49157253567469,-3.81669078278141,239889
NA,0.679914441782356,0.452058868299804,0.0368458092000803,1.80295612597732,-1.51379597294877,49481
