region_wb,combined_total,hydrological,travel_footprint,Local Residents,Connected Beneficiaries,multiplier
Antarctica,0,0,0,0,0,0
North America,367139579.7279081,322378680.15536034,367016817.6135953,149966701.42592242,367016817.6135953,2.44732206632475
Middle East & North Africa,454990574.2510043,415431135.88107437,448418587.6960355,244702715.76202092,448418587.6960355,1.8325035188090557
Latin America & Caribbean,599983870.8685961,508788756.67139757,587460746.1699244,253324048.77622375,587460746.1699244,2.319008988715728
Europe & Central Asia,871304934.3097354,685043532.7809265,867565041.9490383,254893736.65578657,867565041.9490383,3.403634209814323
Sub-Saharan Africa,1119420845.903883,901863458.1802561,1070451220.0759603,429408294.21879643,1070451220.0759603,2.4928517555148417
South Asia,1758031667.650542,1390344914.176564,1698837829.4175527,516628824.186246,1698837829.4175527,3.2883140658933065
East Asia & Pacific,2266898187.7998657,2068249678.200768,2204353544.093536,1136512956.2710507,2204353544.093536,1.9395762555370397
