service,income_grp,hdi_bin,gdp_bin,gini_bin,exposed_population,hotspot_cells
C_Risk,Lower middle income,Low (<0.550),Q2,Q4 (Highest Gini),685.414616735977,2
C_Risk,Lower middle income,Low (<0.550),Q3,Q1 (Lowest Gini),11936.858033868955,4
C_Risk,Lower middle income,Low (<0.550),Q3,Q2,103561.67743126149,17
C_Risk,Lower middle income,Low (<0.550),Q3,Q3,42436.94938024803,4
C_Risk,Lower middle income,Low (<0.550),Q3,Q4 (Highest Gini),30801.608202552765,5
C_Risk,Lower middle income,Low (<0.550),Q4 (Highest GDP),Q1 (Lowest Gini),147711.55416619437,2
C_Risk,Lower middle income,Low (<0.550),Q4 (Highest GDP),Q2,252156.09955437912,8
C_Risk,Lower middle income,Low (<0.550),Q4 (Highest GDP),Q3,23173.574708812062,1
C_Risk,Lower middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q1 (Lowest Gini),69.65599429868324,4
C_Risk,Lower middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q2,625.268416286537,14
C_Risk,Lower middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q3,616.4239303709817,13
C_Risk,Lower middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q4 (Highest Gini),74.70547446608543,6
C_Risk,Lower middle income,Medium (0.550-0.700),Q2,Q1 (Lowest Gini),2139.264603639284,4
C_Risk,Lower middle income,Medium (0.550-0.700),Q2,Q2,5607.629867043481,11
C_Risk,Lower middle income,Medium (0.550-0.700),Q2,Q3,22396.273984231455,31
C_Risk,Lower middle income,Medium (0.550-0.700),Q2,Q4 (Highest Gini),4051.1248861193185,6
C_Risk,Lower middle income,Medium (0.550-0.700),Q3,Q1 (Lowest Gini),16604.097338187188,4
C_Risk,Lower middle income,Medium (0.550-0.700),Q3,Q2,326708.22486116044,78
C_Risk,Lower middle income,Medium (0.550-0.700),Q3,Q3,210085.7372374017,65
C_Risk,Lower middle income,Medium (0.550-0.700),Q3,Q4 (Highest Gini),29111.712527264528,9
C_Risk,Lower middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q1 (Lowest Gini),2491703.8360022884,15
