group,mean_hotspots,pct_multi,n_pixels,grouping
4. Lower middle income,0.42637641517352387,9.941393424411341,202537,income_grp
3. Upper middle income,0.33376465013635354,7.616414117148073,603578,income_grp
5. Low income,0.32849408297862387,7.444805650404603,171032,income_grp
1. High income: OECD,0.2063658632659593,4.60714197789212,324952,income_grp
Latin America & Caribbean,0.5340239880648581,12.791507989478228,203768,region_wb
East Asia & Pacific,0.4522351600032571,10.662405341584561,245620,region_wb
Sub-Saharan Africa,0.3047144817635669,6.882040523564116,241193,region_wb
South Asia,0.2864890449050427,5.9400082828800755,50707,region_wb
Middle East & North Africa,0.20893733857644786,5.101565953882309,85954,region_wb
Europe & Central Asia,0.1883945523260595,3.9152027860511516,279679,region_wb
North America,0.16647791039116108,3.3873637495708144,195137,region_wb
Mangroves,0.6700568351779839,18.217170206401438,3343,WWF_biome
Tropical & Subtropical Moist Broadleaf Forests,0.6647963488142795,16.117769036074773,196758,WWF_biome
Tropical & Subtropical Coniferous Forests,0.5989229024943311,15.320294784580499,7056,WWF_biome
Tropical & Subtropical Dry Broadleaf Forests,0.47922759904280776,11.393246477000798,30088,WWF_biome
Temperate Broadleaf & Mixed Forests,0.4196240865929428,9.834707514360517,127955,WWF_biome
Flooded Grasslands & Savannas,0.41072902338376893,8.794131132508024,10905,WWF_biome
"Mediterranean Forests, Woodlands & Scrub",0.40006878869364015,9.958726783815896,31982,WWF_biome
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.3593790273013859,8.225608184467752,201748,WWF_biome
Temperate Conifer Forests,0.32230251071647276,7.323943661971831,40825,WWF_biome
Montane Grasslands & Shrublands,0.29896072344445945,6.266509843240846,51863,WWF_biome
"Temperate Grasslands, Savannas & Shrublands",0.25591664599354996,5.264202431158521,100775,WWF_biome
Deserts & Xeric Shrublands,0.16096052420663312,3.187933238719666,255777,WWF_biome
Boreal Forests/Taiga,0.10237026953803863,1.6248934469018654,151333,WWF_biome
Tundra,0.025270802712350087,0.8584168076775811,80963,WWF_biome
South Korea,2.4332998996990973,59.27783350050151,997,nev_name
Norfolk Island,2,100,1,nev_name
Jamaica,1.8558558558558558,45.04504504504504,111,nev_name
eSwatini,1.7528735632183907,50,174,nev_name
Malawi,1.7508474576271187,46.440677966101696,1180,nev_name
Guatemala,1.4819277108433735,35.31047265987025,1079,nev_name
Liberia,1.4444444444444444,39.35617860851506,963,nev_name
North Korea,1.3556827473426,37.367130008176616,1223,nev_name
Malaysia,1.320879783067189,32.690569448629105,3319,nev_name
Estonia,1.2489082969432315,32.532751091703055,458,nev_name
Belize,1.2098214285714286,33.92857142857143,224,nev_name
Paraguay,1.126503006012024,31.187374749498996,3992,nev_name
Slovenia,1.1256038647342994,34.78260869565217,207,nev_name
Vietnam,1.099577549788775,26.916113458056728,3314,nev_name
Cambodia,1.0524861878453038,27.01657458563536,1810,nev_name
Indonesia,1.0104772382000105,25.14013306092514,19089,nev_name
Sri Lanka,0.9670658682634731,25.748502994011975,668,nev_name
Bosnia and Herzegovina,0.9468503937007874,25.393700787401574,508,nev_name
Latvia,0.9223744292237442,26.027397260273972,657,nev_name
Ṣo Tom̩ and Principe,0.9,40,10,nev_name
Japan,0.8263648468708389,23.22237017310253,3755,nev_name
Mauritius,0.8260869565217391,17.391304347826086,23,nev_name
Nicaragua,0.818394388152767,22.992985190958688,1283,nev_name
Honduras,0.810905892700088,21.54793315743184,1137,nev_name
Portugal,0.7293478260869565,18.586956521739133,920,nev_name
Austria,0.7120853080568721,17.180094786729857,844,nev_name
Brazil,0.6837989746484173,16.082263298998164,85044,nev_name
Bolivia,0.6712455056697705,16.66820318982207,10847,nev_name
Burundi,0.6666666666666666,17.582417582417584,273,nev_name
Laos,0.6551126516464472,15.944540727902945,2308,nev_name
Philippines,0.6318735594336516,15.969706947645705,3037,nev_name
Nigeria,0.6286780851998244,15.95300834431269,9108,nev_name
Papua New Guinea,0.6268023748939779,16.64546225614928,4716,nev_name
Mozambique,0.6149162861491628,15.131912734652461,7884,nev_name
Switzerland,0.5942028985507246,11.83574879227053,414,nev_name
Iran,0.5351131389111536,14.051421172698685,16219,nev_name
Italy,0.527796161482462,13.864990072799472,3022,nev_name
Ivory Coast,0.5264797507788161,12.05607476635514,3210,nev_name
Panama,0.5186170212765957,13.430851063829788,752,nev_name
Burkina Faso,0.5117474302496329,12.701908957415565,2724,nev_name
Djibouti,0.5,6.306306306306306,222,nev_name
Grenada,0.5,25,4,nev_name
Myanmar,0.4961217183770883,10.560859188544153,6704,nev_name
Denmark,0.4954128440366973,16.51376146788991,436,nev_name
Lebanon,0.4803921568627451,10.784313725490197,102,nev_name
China,0.47948663329428054,10.97347960379167,93890,nev_name
Benin,0.47860262008733623,9.956331877729257,1145,nev_name
Rwanda,0.4624505928853755,10.276679841897234,253,nev_name
Armenia,0.4623287671232877,10.95890410958904,292,nev_name
Vanuatu,0.460431654676259,23.021582733812952,139,nev_name
Mexico,0.4603020716399633,11.598122257373202,19598,nev_name
Tunisia,0.45758354755784064,12.532133676092544,1556,nev_name
United Republic of Tanzania,0.45358739621034705,11.13476687247179,9394,nev_name
Syria,0.4461703267273701,9.855382967327262,1867,nev_name
Argentina,0.4263574253865516,10.010787486515643,27810,nev_name
Ghana,0.42547876769358867,8.825978351373855,2402,nev_name
Gambia,0.42,8,100,nev_name
Guinea-Bissau,0.4198250728862974,8.16326530612245,343,nev_name
Montenegro,0.41605839416058393,9.48905109489051,137,nev_name
Georgia,0.4117647058823529,8.751793400286944,697,nev_name
Spain,0.4095031545741325,9.917192429022082,5072,nev_name
Belgium,0.40460526315789475,9.539473684210527,304,nev_name
Nepal,0.40312712440516657,10.129163834126444,1471,nev_name
Thailand,0.4008152173913043,9.375,5152,nev_name
Zimbabwe,0.40035814786390383,10.028140189306727,3909,nev_name
Morocco,0.3965725319816558,8.134202268887279,4143,nev_name
Lesotho,0.3927392739273927,10.231023102310232,303,nev_name
Haiti,0.39194139194139194,13.553113553113553,273,nev_name
Pakistan,0.3882420091324201,7.328767123287672,8760,nev_name
Costa Rica,0.38803088803088803,9.652509652509652,518,nev_name
Bangladesh,0.3859275053304904,7.320540156361052,1407,nev_name
Togo,0.37894736842105264,7.719298245614035,570,nev_name
Iraq,0.37715072264280797,8.488185363615507,4359,nev_name
Belarus,0.37300435413642963,8.901790033865506,2067,nev_name
Azerbaijan,0.36624569460390355,6.084959816303099,871,nev_name
Turkey,0.3581270732329676,8.356723653993365,7838,nev_name
Kazakhstan,0.351225588978859,6.063825889422196,27293,nev_name
Colombia,0.34839163297591846,8.393390754086834,11378,nev_name
Madagascar,0.3464580178361097,9.473329968029615,5943,nev_name
Greece,0.34377330350484714,10.365398956002982,1341,nev_name
Sierra Leone,0.34206896551724136,6.482758620689655,725,nev_name
Angola,0.3407051282051282,7.876602564102564,12480,nev_name
Mali,0.33338655596359573,6.985470221938368,12526,nev_name
Democratic Republic of the Congo,0.31335021241900185,7.381023902501823,23303,nev_name
South Africa,0.31308831955471883,8.103462388475076,12217,nev_name
Sweden,0.3112935433769692,8.05413800754382,4507,nev_name
France,0.3096985787911916,7.824457285647353,6403,nev_name
Kyrgyzstan,0.3073832245102963,6.328478151682572,1991,nev_name
Eritrea,0.30065897858319607,4.118616144975288,1214,nev_name
Slovakia,0.29591836734693877,5.918367346938775,490,nev_name
Netherlands,0.2924281984334204,8.093994778067886,383,nev_name
Uzbekistan,0.2900423256850078,6.259746045889954,4489,nev_name
Peru,0.2895326380842024,6.612591734260333,12945,nev_name
Afghanistan,0.2868470149253731,6.234452736318408,6432,nev_name
Zambia,0.2816713389400614,6.380990521959686,7491,nev_name
Sudan,0.27315952559034085,5.0432738540442354,18718,nev_name
Guyana,0.26928605654048876,7.283181600383324,2087,nev_name
United Kingdom,0.2645030425963489,7.0588235294117645,2465,nev_name
Dominican Republic,0.2581967213114754,7.786885245901639,488,nev_name
Cameroon,0.25497326203208553,5.839572192513369,4675,nev_name
Ecuador,0.25145292522278184,6.6253390158853165,2581,nev_name
Germany,0.25083798882681563,4.5530726256983245,3580,nev_name
Comoros,0.25,10,20,nev_name
Israel,0.24647887323943662,5.633802816901409,284,nev_name
New Zealand,0.23965141612200436,5.628177196804648,2754,nev_name
Kenya,0.23654995730145176,4.150298889837745,5855,nev_name
Chad,0.23604440595228723,5.259428391465239,12701,nev_name
India,0.23566112430720507,4.855106888361045,31575,nev_name
East Timor,0.23178807947019867,5.298013245033113,151,nev_name
South Sudan,0.2316995544239338,3.0872056015276894,6284,nev_name
Chile,0.2312273433454169,4.505437597099949,7724,nev_name
Tajikistan,0.22605633802816902,4.154929577464789,1420,nev_name
Luxembourg,0.2222222222222222,3.7037037037037033,27,nev_name
Gabon,0.21962264150943397,5.509433962264151,2650,nev_name
United States of America,0.21137672235029106,4.6799507373606595,95001,nev_name
