service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
Nature_Access,4. Lower middle income,202537,16473,8.13332872512183,67764,24.309367805914643,income_grp,15.5546544463977,1.5628356058751562
Pollination,4. Lower middle income,202537,15151,7.480608481413273,67764,22.35847942860516,income_grp,15.5546544463977,1.4374140875744852
N_export,4. Lower middle income,202537,13904,6.864918508716926,67764,20.5182692875273,income_grp,15.5546544463977,1.319108010932324
N_Ret_Ratio,4. Lower middle income,202537,13606,6.717784898561745,67764,20.078507762233635,income_grp,15.5546544463977,1.2908359894091772
Sed_Ret_Ratio,4. Lower middle income,202537,13457,6.644218093484154,67764,19.8586269995868,income_grp,15.5546544463977,1.2766999786476039
Sed_Ret_Ratio,5. Low income,171032,10530,6.156742597876421,67764,15.53922436692049,income_grp,13.135099558482114,1.183030573748936
Nature_Access,5. Low income,171032,10390,6.074886570934094,67764,15.332624992621453,income_grp,13.135099558482114,1.1673017721986176
Pollination,5. Low income,171032,10327,6.038051358810048,67764,15.239655274186884,income_grp,13.135099558482114,1.1602238115009744
Sed_export,4. Lower middle income,202537,11921,5.88583814315409,67764,17.591936721563073,income_grp,15.5546544463977,1.1309757334813173
Sed_export,3. Upper middle income,603578,35028,5.803392436437378,67764,51.69116344961927,income_grp,46.354232665872566,1.115133623766701
N_export,3. Upper middle income,603578,33591,5.565312188317003,67764,49.57056844342129,income_grp,46.354232665872566,1.0693860213528394
N_Ret_Ratio,3. Upper middle income,603578,33577,5.562992686943527,67764,49.54990850599138,income_grp,46.354232665872566,1.0689403244608464
Nature_Access,3. Upper middle income,603578,33418,5.536649778487619,67764,49.315270645180334,income_grp,46.354232665872566,1.0638784811874964
N_export,5. Low income,171032,9125,5.3352588989195,67764,13.465852074848003,income_grp,13.135099558482114,1.0251808153332422
Pollination,3. Upper middle income,603578,32162,5.3285573695529,67764,47.46177911575467,income_grp,46.354232665872566,1.0238931028772593
