"","Service","Country","Outside","Inside","count","share","WholeArea","share_service"
"1","nature","BRAZIL",7608266998.9741,1433145376.68608,29860,13.4177522344197,9041412375.66019,15.8509015753353
"2","nature","MADAGASCAR",8480107.54128771,6911319.21010678,5186,28.180188012824,15391426.7513945,44.9036942561586
"3","nature","MEXICO",118823138.957051,8471271.07322266,6660,24.0824444042669,127294410.030274,6.65486494749295
"4","nature","PERU",703202.39244918,1439352.58144943,2692,16.7935121646912,2142554.97389861,67.1792602282859
"5","nature","VIETNAM",41453433.1140666,97602821.7351705,2898,41.9756662804172,139056254.849237,70.1894509103457
