"","name_long","mean","median","raster_name","service","color"
"1","Aruba",-0.000369023822713643,-1.08196777786313e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"2","Afghanistan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"3","Angola",-0.0245947539806366,-1.97505168179041e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"4","Anguilla",0.0327015444636345,2.64073306845651e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"5","Finland",0.245103016495705,0.0909323913180168,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"6","Albania",-0.0175826102495193,1.01394796720242e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"7","Andorra",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"8","United Arab Emirates",0.00377492466941476,7.12842480354416e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"9","Argentina",-0.000761074421461672,-1.95112261644002e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"10","Armenia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"11","American Samoa",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"12","Antarctica",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"13","French Southern and Antarctic Lands",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"14","Antigua and Barbuda",0.00653422623872757,-0.00289643306691638,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"15","Australia",0.00824514962732792,3.5672638632295e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"16","Austria",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"17","Azerbaijan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"18","Burundi",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"19","Belgium",-0.0213662255555391,-4.19774646828214e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"20","Benin",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"21","Bonaire, Sint Eustatius and Saba",0.000130330387037247,-0.000516524761894843,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"22","Burkina Faso",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"23","Bangladesh",-0.00141204206738621,1.18297918018412e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"24","Bulgaria",-0.00370910600759089,6.97614993159804e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"25","Bahrain",0.0138517906889319,1.03189358874065e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"26","Bahamas",-0.0167074035853148,-2.2999321135831e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"27","Bosnia and Herzegovina",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"28","Saint-Barth̩lemy",0.0129107609391212,0.00109095973561784,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"29","Belarus",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"30","Belize",-0.0168180223554373,-2.7542669103739e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"31","Bermuda",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"32","Bolivia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"33","Brazil",0.0675319954752922,4.1128009799349e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"34","Barbados",-0.00253881607204676,-0.0291146301228177,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"35","Brunei Darussalam",-0.0101433387026191,3.15841253100411e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"36","Bhutan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"37","Norway",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"38","Botswana",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"39","Central African Republic",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"40","Canada",0.000170385290402919,-3.32055489186607e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"41","Australia",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"42","Switzerland",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"43","Chile",-0.0011252025142312,-9.87806850298405e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"44","China",0.0177856311202049,4.21059659942416e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"45","C̫te d'Ivoire",0.0114990547299385,2.60336211169188e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"46","Cameroon",-1.67907019203994e-05,2.99717757244109e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"47","Democratic Republic of the Congo",-0.124770373106003,-1.59261416754495e-07,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"48","Republic of the Congo",-0.193418756127357,-0.0343235762287825,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"49","Cook Islands",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"50","Colombia",0.00596557231619954,1.69008380503237e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"51","Comoros",0.00443743588402867,2.72130448146362e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"52","Republic of Cabo Verde",0.00408818107098341,9.01685365607821e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"53","Costa Rica",-0.0230591762810946,-2.74455158349974e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"54","Cuba",-0.0103462105616927,-6.03565180697616e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"55","Cura̤ao",-0.00200379709713161,-4.03562157989712e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"56","Australia",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"57","Cayman Islands",-0.0021410183981061,-0.00611400316908606,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"58","Cyprus",-0.0028421119786799,-0.020027480498731,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"59","Czech Republic",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"60","Germany",0.0110140899196267,2.24314351469233e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"61","Djibouti",-2.11194750576738e-09,-1.23373409261674e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"62","Dominica",0.000338899670168757,0.397099524736404,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"63","Denmark",0.00415539974346757,3.60530474754754e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"64","Dominican Republic",-0.0259012822061777,4.12124820351208e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"65","Algeria",-0.0367020815610886,-5.84331513137109e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"66","Ecuador",-0.00143879186362028,-1.89233472587056e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"67","Egypt",0.000775729829911143,-5.12238259407734e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"68","Eritrea",0.0316615626215935,0.000200992750875678,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"69","Morocco",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"70","Spain",0.00419010361656547,1.25771882591185e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"71","Estonia",0.068616472184658,1.40535874877635e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"72","Ethiopia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"73","Finland",0.0839588269591331,8.18506241335808e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"74","Fiji",-0.000106597195554059,-9.40924154704671e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"75","Falkland Islands",0.0222069770097733,0.0340068711185775,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"76","France",0.00522648496553302,9.90109956241128e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"77","Faeroe Islands",0.000575142679736018,0.605428285512433,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"78","Federated States of Micronesia",-1.50454260161581e-09,-8.91457115534587e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"79","Gabon",-0.0369772352278233,-5.42210618370205e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"80","United Kingdom",-0.0294242296367884,-5.29767890345968e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"81","Georgia",-0.0100346943363547,-0.00836980314463679,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"82","Guernsey",0.399142652750015,0.587467887840579,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"83","Ghana",-0.00894447695463896,-3.50386024161235e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
