"","Service","Country","Outside","Inside","WholeArea","share_service","share_area","pix_count_pa"
"1","access","BRAZIL",7173867844.82256,1886001251.57948,9059869096.40204,20.8170916324659,14.9050789458158,32842
"2","access","MADAGASCAR",14771942.8403079,630148.533880147,15402091.374188,4.09131798124635,12.0553359683794,2196
"3","access","MEXICO",108677085.946196,18570941.565698,127248027.511894,14.5942863939184,30.7041336660519,8490
"4","access","PERU",1716969.03425961,410088.226827951,2127057.26108756,19.2796044718737,50.2600619195046,8117
"5","access","VIETNAM",132033171.02673,7652917.52143043,139686088.548161,5.47865403131528,24.6807893209518,1701
