"","WWF_biome","mean","stdev","raster_name","year"
"60","Temperate Broadleaf & Mixed Forests",0.852618217468262,0.0965247377753258,"global_n_retention_2001_compressed",2001
"61","Tundra",0.900315403938293,0.0462548732757568,"global_n_retention_2001_compressed",2001
"62","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.844653427600861,0.0809388235211372,"global_n_retention_2001_compressed",2001
"63","Mangroves",0.894725143909454,0.0780880153179169,"global_n_retention_2001_compressed",2001
"64","Deserts & Xeric Shrublands",0.726101458072662,0.116547405719757,"global_n_retention_2001_compressed",2001
"65","Temperate Grasslands, Savannas & Shrublands",0.811870157718658,0.0876459330320358,"global_n_retention_2004_compressed",2004
"66","Tropical & Subtropical Moist Broadleaf Forests",0.890372633934021,0.0694379732012749,"global_n_retention_2004_compressed",2004
"67","Temperate Conifer Forests",0.881358504295349,0.0727606490254402,"global_n_retention_2004_compressed",2004
"68","Tropical & Subtropical Coniferous Forests",0.882568359375,0.0588951222598553,"global_n_retention_2004_compressed",2004
"69","Rock & Ice",0.743855655193329,0.107334762811661,"global_n_retention_2004_compressed",2004
"70","Boreal Forests/Taiga",0.91521942615509,0.0347756445407867,"global_n_retention_2004_compressed",2004
"71","Montane Grasslands & Shrublands",0.768924176692963,0.10220006108284,"global_n_retention_2004_compressed",2004
"72","Lakes",0.76592606306076,0.141046181321144,"global_n_retention_2004_compressed",2004
"73","Flooded Grasslands & Savannas",0.850933432579041,0.0890971645712852,"global_n_retention_2004_compressed",2004
"74","Mediterranean Forests, Woodlands & Scrub",0.801498353481293,0.103751689195633,"global_n_retention_2004_compressed",2004
"75","Tropical & Subtropical Dry Broadleaf Forests",0.843729436397552,0.0924211740493774,"global_n_retention_2004_compressed",2004
"76","Temperate Broadleaf & Mixed Forests",0.852345407009125,0.0968423038721085,"global_n_retention_2004_compressed",2004
"77","Tundra",0.900357007980347,0.0461900793015957,"global_n_retention_2004_compressed",2004
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.844489872455597,0.0810095518827438,"global_n_retention_2004_compressed",2004
"79","Mangroves",0.894395887851715,0.0784534141421318,"global_n_retention_2004_compressed",2004
"80","Deserts & Xeric Shrublands",0.72605949640274,0.116498731076717,"global_n_retention_2004_compressed",2004
