"","region_wb","mean","median","raster_name","service","color","year","id"
"68","Europe & Central Asia",0.162110015749931,8.50457129226543e-08,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"69","Middle East & North Africa",0.126746460795403,7.29241531070729e-09,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"70","East Asia & Pacific",0.427974164485931,9.35800314738755e-09,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"71","Antarctica",0,0,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"72","North America",0.108749009668827,1.68329265050034e-07,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"73","Latin America & Caribbean",0.189385995268822,6.16602999250292e-09,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"74","South Asia",0.28164154291153,1.22777521402839e-07,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"75","Sub-Saharan Africa",0.0311615150421858,7.13105524010536e-09,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"76","Europe & Central Asia",0.169444620609283,8.51774911419263e-08,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"77","Middle East & North Africa",0.154879435896873,7.31337298498383e-09,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"78","East Asia & Pacific",0.466975808143616,9.34531588955598e-09,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"79","Antarctica",0,0,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
"80","North America",0.115028686821461,1.43946155906805e-07,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","#dd1c77",2020,NA
