"","extent","service","color","metric","value"
"68","Montane Grasslands & Shrublands","Nitrogen Export","#2c944c","year_2020",17.895845413208
"69","Montane Grasslands & Shrublands","Nitrogen Export","#2c944c","pct_change",2.60967087527792
"70","Lakes","Nitrogen Export","#2c944c","year_1992",0.875449061393738
"71","Lakes","Nitrogen Export","#2c944c","year_2020",0.912019550800323
"72","Lakes","Nitrogen Export","#2c944c","pct_change",4.17734063799941
"73","Flooded Grasslands & Savannas","Nitrogen Export","#2c944c","year_1992",23.6406097412109
"74","Flooded Grasslands & Savannas","Nitrogen Export","#2c944c","year_2020",24.1600151062012
"75","Flooded Grasslands & Savannas","Nitrogen Export","#2c944c","pct_change",2.19708954496576
"76","Mediterranean Forests, Woodlands & Scrub","Nitrogen Export","#2c944c","year_1992",49.6386337280273
"77","Mediterranean Forests, Woodlands & Scrub","Nitrogen Export","#2c944c","year_2020",50.8976097106934
"78","Mediterranean Forests, Woodlands & Scrub","Nitrogen Export","#2c944c","pct_change",2.53628250439788
"79","Tropical & Subtropical Dry Broadleaf Forests","Nitrogen Export","#2c944c","year_1992",46.3738555908203
"80","Tropical & Subtropical Dry Broadleaf Forests","Nitrogen Export","#2c944c","year_2020",46.719913482666
"81","Tropical & Subtropical Dry Broadleaf Forests","Nitrogen Export","#2c944c","pct_change",0.746234893426039
"82","Temperate Broadleaf & Mixed Forests","Nitrogen Export","#2c944c","year_1992",55.933349609375
"83","Temperate Broadleaf & Mixed Forests","Nitrogen Export","#2c944c","year_2020",56.1297187805176
"84","Temperate Broadleaf & Mixed Forests","Nitrogen Export","#2c944c","pct_change",0.351077081050919
"85","Tundra","Nitrogen Export","#2c944c","year_1992",2.94689702987671
"86","Tundra","Nitrogen Export","#2c944c","year_2020",2.9493420124054
"87","Tundra","Nitrogen Export","#2c944c","pct_change",0.0829680339659634
"88","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","year_1992",11.4936485290527
"89","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","year_2020",11.6367998123169
"90","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","pct_change",1.24548164929833
"91","Mangroves","Nitrogen Export","#2c944c","year_1992",28.8504619598389
"92","Mangroves","Nitrogen Export","#2c944c","year_2020",28.6797389984131
"93","Mangroves","Nitrogen Export","#2c944c","pct_change",-0.591751222782681
"94","Deserts & Xeric Shrublands","Nitrogen Export","#2c944c","year_1992",15.8626651763916
"95","Deserts & Xeric Shrublands","Nitrogen Export","#2c944c","year_2020",16.2452583312988
"96","Deserts & Xeric Shrublands","Nitrogen Export","#2c944c","pct_change",2.4119096674663
"97","Temperate Grasslands, Savannas & Shrublands","Sediment Export","#08306b","year_1992",13.2388429641724
"98","Temperate Grasslands, Savannas & Shrublands","Sediment Export","#08306b","year_2020",13.1719646453857
"99","Temperate Grasslands, Savannas & Shrublands","Sediment Export","#08306b","pct_change",-0.505167399958519
"100","Tropical & Subtropical Moist Broadleaf Forests","Sediment Export","#08306b","year_1992",102.914894104004
"101","Tropical & Subtropical Moist Broadleaf Forests","Sediment Export","#08306b","year_2020",108.06005859375
"102","Tropical & Subtropical Moist Broadleaf Forests","Sediment Export","#08306b","pct_change",4.99943621818857
"103","Temperate Conifer Forests","Sediment Export","#08306b","year_1992",61.6360282897949
"104","Temperate Conifer Forests","Sediment Export","#08306b","year_2020",62.3789100646973
"105","Temperate Conifer Forests","Sediment Export","#08306b","pct_change",1.20527197406294
"106","Tropical & Subtropical Coniferous Forests","Sediment Export","#08306b","year_1992",146.887985229492
"107","Tropical & Subtropical Coniferous Forests","Sediment Export","#08306b","year_2020",150.736846923828
"108","Tropical & Subtropical Coniferous Forests","Sediment Export","#08306b","pct_change",2.62026992086706
"109","Rock & Ice","Sediment Export","#08306b","year_1992",592.781005859375
"110","Rock & Ice","Sediment Export","#08306b","year_2020",602.225830078125
"111","Rock & Ice","Sediment Export","#08306b","pct_change",1.59330749895697
"112","Boreal Forests/Taiga","Sediment Export","#08306b","year_1992",1.99686682224274
"113","Boreal Forests/Taiga","Sediment Export","#08306b","year_2020",2.21290135383606
"114","Boreal Forests/Taiga","Sediment Export","#08306b","pct_change",10.8186749955956
"115","Montane Grasslands & Shrublands","Sediment Export","#08306b","year_1992",221.893341064453
"116","Montane Grasslands & Shrublands","Sediment Export","#08306b","year_2020",218.57063293457
"117","Montane Grasslands & Shrublands","Sediment Export","#08306b","pct_change",-1.49743480987015
"118","Lakes","Sediment Export","#08306b","year_1992",5.71319961547852
"119","Lakes","Sediment Export","#08306b","year_2020",6.04982328414917
"120","Lakes","Sediment Export","#08306b","pct_change",5.89203408469486
"121","Flooded Grasslands & Savannas","Sediment Export","#08306b","year_1992",1.8035796880722
"122","Flooded Grasslands & Savannas","Sediment Export","#08306b","year_2020",1.73366034030914
"123","Flooded Grasslands & Savannas","Sediment Export","#08306b","pct_change",-3.87669855817654
"124","Mediterranean Forests, Woodlands & Scrub","Sediment Export","#08306b","year_1992",54.8528442382812
"125","Mediterranean Forests, Woodlands & Scrub","Sediment Export","#08306b","year_2020",53.6240463256836
"126","Mediterranean Forests, Woodlands & Scrub","Sediment Export","#08306b","pct_change",-2.24017173523344
"127","Tropical & Subtropical Dry Broadleaf Forests","Sediment Export","#08306b","year_1992",88.8858337402344
"128","Tropical & Subtropical Dry Broadleaf Forests","Sediment Export","#08306b","year_2020",89.9290313720703
"129","Tropical & Subtropical Dry Broadleaf Forests","Sediment Export","#08306b","pct_change",1.17363767423795
"130","Temperate Broadleaf & Mixed Forests","Sediment Export","#08306b","year_1992",37.6026649475098
"131","Temperate Broadleaf & Mixed Forests","Sediment Export","#08306b","year_2020",38.7669906616211
"132","Temperate Broadleaf & Mixed Forests","Sediment Export","#08306b","pct_change",3.09639148112667
"133","Tundra","Sediment Export","#08306b","year_1992",73.2703475952148
"134","Tundra","Sediment Export","#08306b","year_2020",75.5249862670898
"135","Tundra","Sediment Export","#08306b","pct_change",3.07715023317598
"136","Tropical & Subtropical Grasslands, Savannas & Shrublands","Sediment Export","#08306b","year_1992",21.5857639312744
"137","Tropical & Subtropical Grasslands, Savannas & Shrublands","Sediment Export","#08306b","year_2020",21.8301219940186
"138","Tropical & Subtropical Grasslands, Savannas & Shrublands","Sediment Export","#08306b","pct_change",1.13203342500269
"139","Mangroves","Sediment Export","#08306b","year_1992",6.3961238861084
"140","Mangroves","Sediment Export","#08306b","year_2020",6.20088815689087
"141","Mangroves","Sediment Export","#08306b","pct_change",-3.05240693729461
"142","Deserts & Xeric Shrublands","Sediment Export","#08306b","year_1992",28.9541511535645
"143","Deserts & Xeric Shrublands","Sediment Export","#08306b","year_2020",26.9368705749512
"144","Deserts & Xeric Shrublands","Sediment Export","#08306b","pct_change",-6.96715496135329
"145","Temperate Grasslands, Savannas & Shrublands","Nature Access","#A57C00","year_1992",17399.708984375
"146","Temperate Grasslands, Savannas & Shrublands","Nature Access","#A57C00","year_2020",39720.03125
