...1,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,id,ee_r264_name,dir_ch_2,area_sqkm,service,pct_ch,area_sqkm_country,GHS_BUILT_S_E2020_GLOBE_R2023A_4326_3ss_V1_0_mean,rast_gdpTot_1990_2020_30arcsec.7_mean,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.1_mean,GlobPOP_Count_30arc_2020_I32.1_sum,hdi_raster_predictions_2020.1_mean,farmsize_mehrabi.1_mean,GlobPOP_sqkm,pct_ch_trans,pct_ch_focus,threshold
8595,1061387160,1061418940,1060011660,1060011660,1354.9,1354.9,10478.1,10478.1,122440,0,0,3,399,262,Zambia,-12.4454,10478.16211,Sed_export,103.1316053,753983.4636,38.62590635,121287.0235,0.627890141,768690.5195,0.499170831,1,73.36163231,4.645655535,103.1316053,95.03354443
8596,1061387160,1061418940,1060011660,1060011660,1354.9,1354.9,10478.1,10478.1,122440,0,0,3,399,262,Zambia,-12.4454,10478.16211,Sed_Ret_Ratio,-2.0828,753983.4636,38.62590635,121287.0235,0.627890141,768690.5195,0.499170831,1,73.36163231,-1.125838275,2.0828,0.8475
8598,1061387160,1061418940,1060011660,1060011660,1354.9,1354.9,10478.1,10478.1,122440,0,0,3,399,262,Zambia,-12.4454,10478.16211,N_export,55.061,753983.4636,38.62590635,121287.0235,0.627890141,768690.5195,0.499170831,1,73.36163231,4.026440384,55.061,32.524
8599,1061387160,1061418940,1060011660,1060011660,1354.9,1354.9,10478.1,10478.1,122440,0,0,3,399,262,Zambia,-12.4454,10478.16211,N_Ret_Ratio,-2.617,753983.4636,38.62590635,121287.0235,0.627890141,768690.5195,0.499170831,1,73.36163231,-1.285644953,2.617,1.24125
8665,1061369690,1061376870,1060011660,1060011660,1533.8,1533.8,4621.7,4621.9,122480,0,0,3,413,262,Zambia,-25.5587,4621.701796,Sed_export,155.1364185,753983.4636,46.69200057,118499.6528,0.574307476,309144.8355,0.48995572,1.311122718,66.88985341,5.050730103,155.1364185,95.03354443
8666,1061369690,1061376870,1060011660,1060011660,1533.8,1533.8,4621.7,4621.9,122480,0,0,3,413,262,Zambia,-25.5587,4621.701796,Sed_Ret_Ratio,-3.6818,753983.4636,46.69200057,118499.6528,0.574307476,309144.8355,0.48995572,1.311122718,66.88985341,-1.543682651,3.6818,0.8475
8668,1061369690,1061376870,1060011660,1060011660,1533.8,1533.8,4621.7,4621.9,122480,0,0,3,413,262,Zambia,-25.5587,4621.701796,N_export,117.389,753983.4636,46.69200057,118499.6528,0.574307476,309144.8355,0.48995572,1.311122718,66.88985341,4.773975813,117.389,32.524
8669,1061369690,1061376870,1060011660,1060011660,1533.8,1533.8,4621.7,4621.9,122480,0,0,3,413,262,Zambia,-25.5587,4621.701796,N_Ret_Ratio,-6.739,753983.4636,46.69200057,118499.6528,0.574307476,309144.8355,0.48995572,1.311122718,66.88985341,-2.04627248,6.739,1.24125
8686,1061489040,1061488130,1060011660,1060011660,1587.3,1587.3,1507.2,1507.3,122786,0,0,3,417,264,Zimbabwe,-9.1445,1507.251249,Sed_Ret_Ratio,-0.9316,391519.7602,24.11085119,26533.47185,0.215633144,41134.53073,0.538578793,2,27.29201879,-0.658348675,0.9316,0.8475
8689,1061489040,1061488130,1060011660,1060011660,1587.3,1587.3,1507.2,1507.3,122786,0,0,3,417,264,Zimbabwe,-9.1445,1507.251249,N_Ret_Ratio,-1.555,391519.7602,24.11085119,26533.47185,0.215633144,41134.53073,0.538578793,2,27.29201879,-0.938052224,1.555,1.24125
