region_wb,combined_total,hydrological,travel_footprint,multiplier
Antarctica,0,0,0,NA
None,158238527.71885926,128021492.37024495,157107633.58410218,1.2271973297244385
North America,367139579.7279081,322378680.15536034,367016817.6135953,1.138464917831176
Middle East & North Africa,454990574.2510043,415431135.88107437,448418587.6960355,1.0794053429457067
Latin America & Caribbean,599983870.8685961,508788756.67139757,587460746.1699244,1.1546260377552668
Europe & Central Asia,871304934.3097354,685043532.7809265,867565041.9490383,1.2664378253848596
Sub-Saharan Africa,1119420845.903883,901863458.1802561,1070451220.0759603,1.186932689606777
South Asia,1758031667.650542,1390344914.176564,1698837829.4175527,1.2218822912900678
East Asia & Pacific,2266898187.7998657,2068249678.200768,2204353544.093536,1.0658063034300427
