income_grp,combined_total,hydrological,travel_footprint,Local Residents,Connected Beneficiaries,multiplier
2. High income: nonOECD,98157026.82909653,92173020.90113941,97497299.71403366,62713212.65658959,97497299.71403366,1.5546532474411376
5. Low income,974509142.9064039,806980013.6197672,930564708.4730092,347985008.58354354,930564708.4730092,2.67415171780195
1. High income: OECD,1050755402.2269452,864536072.0122442,1050476920.5787585,365830332.4304544,1050476920.5787585,2.871486663229211
3. Upper middle income,2528851915.1139717,2262098632.008743,2458478732.9077,1250109849.9034412,2458478732.9077,1.9666101607771458
4. Lower middle income,2785496173.435117,2266312417.504453,2707086125.342141,958798873.7220181,2707086125.342141,2.8234139604621595
