overlap_category,exposure_type,country,region_wb,income_grp,WWF_biome,population
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,1227310.2690867446
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",358122.39759946894
2 or more overlapping,hydrological,Bahrain,Middle East & North Africa,2. High income: nonOECD,Deserts & Xeric Shrublands,880142.2947570365
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,Mangroves,4311596.276594262
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,None,744939.0488588237
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",166611.53979601187
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,82447905.8158918
2 or more overlapping,hydrological,Barbados,Latin America & Caribbean,2. High income: nonOECD,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Belarus,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,2369839.1217217115
2 or more overlapping,hydrological,Belgium,Europe & Central Asia,1. High income: OECD,None,0.0
2 or more overlapping,hydrological,Belgium,Europe & Central Asia,1. High income: OECD,Temperate Broadleaf & Mixed Forests,2348357.8754278696
2 or more overlapping,hydrological,Belize,Latin America & Caribbean,4. Lower middle income,Mangroves,41451.742825507186
2 or more overlapping,hydrological,Belize,Latin America & Caribbean,4. Lower middle income,None,25021.380633711815
2 or more overlapping,hydrological,Belize,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Coniferous Forests,25546.07312034443
2 or more overlapping,hydrological,Belize,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Moist Broadleaf Forests,255042.24372381935
2 or more overlapping,hydrological,Benin,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",4236586.432437006
2 or more overlapping,hydrological,Benin,Sub-Saharan Africa,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,225845.4564152509
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Montane Grasslands & Shrublands,125.69281119853258
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Rock & Ice,2.6240052077919245
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Temperate Broadleaf & Mixed Forests,226691.31171788694
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Temperate Conifer Forests,21487.17422246281
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Tropical & Subtropical Coniferous Forests,22093.336132424884
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0
2 or more overlapping,hydrological,Bhutan,South Asia,4. Lower middle income,Tropical & Subtropical Moist Broadleaf Forests,63663.189185289666
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,Flooded Grasslands & Savannas,21044.928479145165
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,Lakes,12508.848497042432
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,Montane Grasslands & Shrublands,3173294.1944324938
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Dry Broadleaf Forests,4461572.019048537
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",635914.6396259508
2 or more overlapping,hydrological,Bolivia,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Moist Broadleaf Forests,841427.4094034922
2 or more overlapping,hydrological,"Bonaire, Sint Eustatius and Saba",Latin America & Caribbean,2. High income: nonOECD,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,"Bonaire, Sint Eustatius and Saba",Latin America & Caribbean,2. High income: nonOECD,Mangroves,0.0
2 or more overlapping,hydrological,"Bonaire, Sint Eustatius and Saba",Latin America & Caribbean,2. High income: nonOECD,None,0.0
