region_wb,service,mean_val,stdev_val,valid_count,se_val,sym_pct_change,status_abs,status_pct,grp_num_id,grp_legend_label
North America,Sed_Ret_Ratio,-6.4827600726857e-4,0.08323776323934687,174842621,6.295014680452618e-6,-0.07001135110050918,Bad,Bad,5,[5] North America
South Asia,C_Risk,-0.0029400535214284,0.0805807552241327,29367,4.7022048140956665e-4,-0.11668046518253493,Good,Good,6,[6] South Asia
South Asia,C_Risk_Red_Ratio,8.833049089728e-4,0.0285320421321003,29367,1.664957166216314e-4,1.0151602379503624,Good,Good,6,[6] South Asia
South Asia,N_export,-0.00520830368623137,2.240618607424165,54930836,3.023150959274234e-4,-0.1139237085583987,Good,Good,6,[6] South Asia
South Asia,N_Ret_Ratio,3.924774500774219e-5,0.1061886806728092,49839648,1.5041485930298047e-5,0.01079563686310267,Good,Good,6,[6] South Asia
South Asia,Nature_Access,-4055.6702,299228.95501787856,1268196,265.7115460699198,-9.93870848604586,Bad,Bad,6,[6] South Asia
South Asia,Pollination,0.00410294299945235,0.12609818221269983,14075104,3.361112273372696e-5,3.0846538305182074,Good,Good,6,[6] South Asia
South Asia,Sed_export,-0.3825149834156037,40.75713435873401,50635088,0.005727668264678646,-3.0085199116430834,Good,Good,6,[6] South Asia
South Asia,Sed_Ret_Ratio,9.6011918503791e-4,0.03451025428938684,47858842,4.988466572042995e-6,0.1060455586159612,Good,Good,6,[6] South Asia
Sub-Saharan Africa,C_Risk,5.198668199867e-4,0.0504114457605539,70872,1.893615537901107e-4,0.02230247950726827,Bad,Bad,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,C_Risk_Red_Ratio,-4.224354897519e-4,0.0187753496489362,70872,7.052623325588399e-5,-0.4234037340367075,Bad,Bad,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,N_export,0.01102539710700512,0.5024205636192564,247174492,3.1956968990557406e-5,1.6286019837674603,Bad,Bad,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,N_Ret_Ratio,0.00111117598135024,0.07960377382783348,197429869,5.66535630197072e-6,0.12161219773015411,Good,Good,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,Nature_Access,-2499.7812,143261.1373996102,5990831,58.53085398221986,-16.18768244509297,Bad,Bad,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,Pollination,0.00340748205780982,0.0584920418128255,32400602,1.0275908820555906e-5,13.447731334300059,Good,Good,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,Sed_export,0.06784212589263916,22.762102797628575,210960662,0.0015671538738428019,1.4052990372786145,Bad,Bad,7,[7] Sub-Saharan Africa
Sub-Saharan Africa,Sed_Ret_Ratio,-2.9852811712771e-4,0.08241717129325371,201056340,5.812444491633981e-6,-0.031221382433308385,Bad,Bad,7,[7] Sub-Saharan Africa
