nev_name,service,mean_val,stdev_val,valid_count,se_val,sym_pct_change,status_abs,status_pct,grp_num_id,grp_legend_label
Afghanistan,N_export,0.02595738880336284,0.35376769806776687,7734225,1.2720663799488193e-4,2.3270306281996747,Bad,Bad,1,[1] Afghanistan
Afghanistan,N_Ret_Ratio,-0.00164814933668822,0.13619585676057006,6279749,5.434914962813393e-5,-0.25081180323760355,Bad,Bad,1,[1] Afghanistan
Afghanistan,Nature_Access,-1482.9605712890625,83993.04364997082,161303,209.13277331782834,-13.699288072351006,Bad,Bad,1,[1] Afghanistan
Afghanistan,Pollination,0.06279096752405167,0.27332744778603796,9726,0.0027715078530804013,53.304950953480095,Good,Good,1,[1] Afghanistan
Afghanistan,Sed_export,-0.08737795054912567,13.389812626000184,5443060,0.005739220872762217,-0.389871778631664,Good,Good,1,[1] Afghanistan
Afghanistan,Sed_Ret_Ratio,4.8057833919301e-4,0.00942142417168429,5059034,4.188733768850082e-6,0.05813170793901576,Good,Good,1,[1] Afghanistan
Albania,C_Risk,-0.0249561100736028,0.1125246405499847,693,0.004274457634329936,-0.980909589020517,Good,Good,2,[2] Albania
Albania,C_Risk_Red_Ratio,0.0079293163748871,0.0328259556699496,693,0.0012469549436619925,6.470344177522358,Good,Good,2,[2] Albania
Albania,N_export,-0.3326730728149414,2.184624415356997,341406,0.0037388772601198964,-6.346664161735723,Good,Good,2,[2] Albania
Albania,N_Ret_Ratio,0.00981754623353481,0.0941228222640562,301352,1.714580585868935e-4,1.3127027261148132,Good,Good,2,[2] Albania
Albania,Nature_Access,4765.6484375,52589.61138000766,7141,622.3295814776184,30.02529280598298,Good,Good,2,[2] Albania
Albania,Pollination,-3.1371187651529e-4,0.02724148524244371,175060,6.510844455395253e-5,-0.8832596148388343,Bad,Bad,2,[2] Albania
Albania,Sed_export,-8.103194236755371,78.01791623076045,367737,0.12865470764252737,-10.297461225444822,Good,Good,2,[2] Albania
Albania,Sed_Ret_Ratio,0.00956051796674728,0.0294268761765089,352056,4.959504477382648e-5,1.091566235533,Good,Good,2,[2] Albania
Algeria,C_Risk,0.0036832581207042,0.0415459774734903,2349,8.572104818706621e-4,0.14341589718816086,Bad,Bad,3,[3] Algeria
Algeria,C_Risk_Red_Ratio,-0.0012171328402042,0.0142265050862979,2349,2.9353285256418184e-4,-1.0822958957211148,Bad,Bad,3,[3] Algeria
Algeria,N_export,0.09787174314260484,2.017296523742541,25916240,3.96263201133264e-4,21.42489597612004,Bad,Bad,3,[3] Algeria
Algeria,N_Ret_Ratio,-0.0022810602094978,0.1729294175814189,3187423,9.686101768894999e-5,-0.33338731730073423,Bad,Bad,3,[3] Algeria
Algeria,Nature_Access,43.59547424316406,38253.080592172446,579202,50.263345201328015,0.8953449962304536,Good,Good,3,[3] Algeria
Algeria,Pollination,0.11213672161102296,1.277669563742168,576663,0.0016825094252983788,15.13922082226002,Good,Good,3,[3] Algeria
Algeria,Sed_export,-0.1951079219579697,5.112983770200334,4115067,0.002520495688395497,-4.022957236779223,Good,Good,3,[3] Algeria
Algeria,Sed_Ret_Ratio,4.7287228517234e-4,0.02884015070880937,3949356,1.4512237721481918e-5,0.056851909950968185,Good,Good,3,[3] Algeria
American Samoa,C_Risk,-0,0,131,0,0,Neutral,Neutral,4,[4] American Samoa
American Samoa,C_Risk_Red_Ratio,-0,0,131,0,0,Neutral,Neutral,4,[4] American Samoa
American Samoa,Nature_Access,0,0,42,0,0,Neutral,Neutral,4,[4] American Samoa
Andorra,N_export,0.08217015862464905,0.3987445486261624,6203,0.005062836100049095,6.576533217815826,Bad,Bad,5,[5] Andorra
Andorra,N_Ret_Ratio,-0.00126397993881255,0.03062755392967358,6127,3.912806516374872e-4,-0.17639864009348416,Bad,Bad,5,[5] Andorra
Andorra,Nature_Access,-773.19677734375,13304.032372954847,111,1262.7628702540187,-1.234713913883043,Bad,Bad,5,[5] Andorra
Andorra,Sed_export,2.674186944961548,49.3572639477174,6373,0.6182713438592132,13.713580451356357,Bad,Bad,5,[5] Andorra
Andorra,Sed_Ret_Ratio,-0.00539382733404636,0.01680453195049374,6270,2.122230981612705e-4,-0.587088751038149,Bad,Bad,5,[5] Andorra
Angola,C_Risk,-0.0107184456984131,0.0973112434843308,3363,0.001678029488465265,-0.33858407980233735,Good,Good,6,[6] Angola
Angola,C_Risk_Red_Ratio,0.002754256873753,0.0275901853300518,3363,4.7576356974108046e-4,5.707766916333264,Good,Good,6,[6] Angola
Angola,N_export,0.00408619735389947,0.24956738586046745,12806077,6.973965193861498e-5,1.2081017280028288,Bad,Bad,6,[6] Angola
Angola,N_Ret_Ratio,-7.658596150577e-4,0.03915206802534642,12028556,1.12888046920718e-5,-0.08250252592698906,Bad,Bad,6,[6] Angola
Angola,Nature_Access,-2113.389892578125,152487.2663258804,313806,272.2092990674729,-33.92710001642965,Bad,Bad,6,[6] Angola
Angola,Pollination,8.422006067121401e-5,0.00109177472708286,620882,1.3855700976039018e-6,13.603004492860016,Good,Good,6,[6] Angola
Angola,Sed_export,0.26034316420555115,10.549725119043078,13245735,0.0028986989477123174,19.923674630858265,Bad,Bad,6,[6] Angola
Angola,Sed_Ret_Ratio,-8.4891082951799e-4,0.0133674185751504,12739709,3.7451377263256734e-6,-0.08811588999871461,Bad,Bad,6,[6] Angola
Anguilla,C_Risk,-0.0198130554016385,0.0494130153144558,169,0.0038010011780350616,-0.8584117161520243,Good,Good,7,[7] Anguilla
Anguilla,C_Risk_Red_Ratio,0.0082978974102504,0.0205702158177314,169,0.001582324293671646,4.321244825253799,Good,Good,7,[7] Anguilla
Antigua and Barbuda,C_Risk,-0.0028552752000712,0.0201089230149165,253,0.0012642371581998667,-0.10853666323841335,Good,Good,8,[8] Antigua and Barbuda
Antigua and Barbuda,C_Risk_Red_Ratio,6.54725449579e-4,0.0046110524341619,253,2.898943827748114e-4,0.3516237183704892,Good,Good,8,[8] Antigua and Barbuda
Antigua and Barbuda,Nature_Access,-823.18365478515625,8789.196253040236,115,819.596776652777,-1.6093129899708705,Bad,Bad,8,[8] Antigua and Barbuda
Argentina,C_Risk,-0.0026341967155072,0.0500680247974262,10546,4.875470973292084e-4,-0.10456304473108743,Good,Good,9,[9] Argentina
Argentina,C_Risk_Red_Ratio,8.367663828756e-4,0.0174910059349471,10546,1.703220609851138e-4,1.2613781091739824,Good,Good,9,[9] Argentina
Argentina,N_export,0.04856545478105545,0.4445655158978164,33682600,7.66007405662642e-5,4.340403823154221,Bad,Bad,9,[9] Argentina
Argentina,N_Ret_Ratio,-0.0028307088650763,0.07627963543470127,31537390,1.358300105338399e-5,-0.35009344227638484,Bad,Bad,9,[9] Argentina
Argentina,Nature_Access,-828.0909423828125,133559.8279063086,694654,160.24761715081988,-9.273161373610916,Bad,Bad,9,[9] Argentina
Argentina,Pollination,8.6920498870313e-4,0.3922457631468069,5982725,1.6036468698656765e-4,0.3956597079224667,Good,Good,9,[9] Argentina
Argentina,Sed_export,0.00653118221089243,15.258046192839457,34022879,0.002615853362870555,0.07577969500479124,Bad,Bad,9,[9] Argentina
Argentina,Sed_Ret_Ratio,-0.00160834868438541,0.02117787279818108,32000015,3.7437534892328703e-6,-0.1722524755522663,Bad,Bad,9,[9] Argentina
Armenia,N_export,0.04060836136341095,0.6316404021207913,392747,0.0010078907586358247,2.607404392371978,Bad,Bad,10,[10] Armenia
Armenia,N_Ret_Ratio,-0.00312215439043939,0.06990596094517627,371098,1.1475454705944444e-4,-0.3856518675027934,Bad,Bad,10,[10] Armenia
Armenia,Nature_Access,-1087.703125,56589.87360845418,7406,657.5773869679388,-5.6921573796108165,Bad,Bad,10,[10] Armenia
Armenia,Pollination,0.01007236819714307,0.11384734557675144,193136,2.590545907684715e-4,10.096979207009937,Good,Good,10,[10] Armenia
Armenia,Sed_export,0.0138803357258439,14.518423909750137,391139,0.023214210183370273,0.059727591021669364,Bad,Bad,10,[10] Armenia
Armenia,Sed_Ret_Ratio,-1.6075700114015e-4,0.02315137440949721,378642,3.7623776496641504e-5,-0.023916574264034974,Bad,Bad,10,[10] Armenia
Aruba,C_Risk,0.0023450502181175,0.0113174251372907,135,9.740488684150238e-4,0.10445689529939634,Bad,Bad,11,[11] Aruba
Aruba,C_Risk_Red_Ratio,-0.0012711801277771001,0.006142991852673,135,5.287045586953417e-4,-0.8591704030139221,Bad,Bad,11,[11] Aruba
Aruba,Nature_Access,-28623.517578125,49577.38323066275,44,7474.071739262098,-38.596493815497084,Bad,Bad,11,[11] Aruba
Australia,C_Risk,0.0015298847815906,0.0337181414480394,53205,1.4617981382633992e-4,0.07115484247426339,Bad,Bad,12,[12] Australia
Australia,C_Risk_Red_Ratio,-5.7101697331e-4,0.0127669654226784,53205,5.5349214057080405e-5,-0.43121999532884653,Bad,Bad,12,[12] Australia
Australia,N_export,0.0239733774214983,0.5748343330562372,83851010,6.277526434974814e-5,1.5145237307442863,Bad,Bad,12,[12] Australia
Australia,N_Ret_Ratio,0.00143408286385238,0.0777095437859592,77725673,8.814386984865497e-6,0.18109095342721646,Good,Good,12,[12] Australia
Australia,Nature_Access,-726.6187744140625,54921.583545496,1925348,39.581152138120494,-9.876923988772903,Bad,Bad,12,[12] Australia
Australia,Pollination,0.00248132669366896,0.201759774857591,4781080,9.227234954990152e-5,2.922018932733285,Good,Good,12,[12] Australia
Australia,Sed_export,0.00426761107519269,1.6432428479871417,87246233,1.7592534380010688e-4,1.1578838231678334,Bad,Bad,12,[12] Australia
Australia,Sed_Ret_Ratio,5.8933952823281e-4,0.01481124577350324,82800786,1.6276999826265332e-6,0.06339892030431697,Good,Good,12,[12] Australia
Austria,N_export,0.21727387607097623,6.201536163912374,1245276,0.005557333648902387,3.411928518491238,Bad,Bad,13,[13] Austria
Austria,N_Ret_Ratio,-0.00765912234783172,0.11867777173077523,1201295,1.0827907792076603e-4,-0.960089980061774,Bad,Bad,13,[13] Austria
Austria,Nature_Access,-3593.004638671875,191154.046495918,20942,1320.9136202194134,-1.1888081881521393,Bad,Bad,13,[13] Austria
Austria,Pollination,0.02939262613654136,0.4972889827844047,241860,0.0010111761403420799,5.658692778994957,Good,Good,13,[13] Austria
Austria,Sed_export,1.1292437314987185,20.56662458093301,1291795,0.018095318056750104,10.864340778081331,Bad,Bad,13,[13] Austria
Austria,Sed_Ret_Ratio,-0.00603955704718828,0.02021542755954442,1231843,1.821399660069767e-5,-0.6535258258633243,Bad,Bad,13,[13] Austria
Azerbaijan,N_export,0.00597522174939513,0.42421810050043823,1065321,4.11006746767294e-4,0.5288731335055027,Bad,Bad,14,[14] Azerbaijan
Azerbaijan,N_Ret_Ratio,0.00396877387538552,0.0831505014039669,1011217,8.26880387827918e-5,0.4944633835720571,Good,Good,14,[14] Azerbaijan
Azerbaijan,Nature_Access,-4286.34619140625,110403.7181679726,21482,753.2624936785877,-27.66365066546715,Bad,Bad,14,[14] Azerbaijan
Azerbaijan,Pollination,5.3728616330772e-4,0.04607649237267032,441010,6.938333834006322e-5,1.0501197315751458,Good,Good,14,[14] Azerbaijan
Azerbaijan,Sed_export,0.06267586350440979,12.542352659194146,1116534,0.011869789894452728,0.6341803453766108,Bad,Bad,14,[14] Azerbaijan
Azerbaijan,Sed_Ret_Ratio,0.00113566033542156,0.01627118668231332,1058088,1.5818246294807496e-5,0.1331268270838961,Good,Good,14,[14] Azerbaijan
Bahrain,C_Risk,-0.0048089328431533,0.058597227612705,363,0.0030755568305419097,-0.23124702827995322,Good,Good,15,[15] Bahrain
Bahrain,C_Risk_Red_Ratio,0.0015679395176639,0.0205859230599386,363,0.001080480747288407,1.0842295829324495,Good,Good,15,[15] Bahrain
Bahrain,Nature_Access,0,0,138,0,0,Neutral,Neutral,15,[15] Bahrain
Bahrain,Pollination,0.23020677268505096,0.16514748789351635,23,0.034435631671114415,182.37618388254495,Good,Good,15,[15] Bahrain
Bangladesh,C_Risk,-0.010859884766265,0.0973755459306807,4287,0.0014872129683333646,-0.4789661721168599,Good,Good,16,[16] Bangladesh
Bangladesh,C_Risk_Red_Ratio,0.0033535448980519,0.0403920656168039,4287,6.169064648515191e-4,4.37412444772997,Good,Good,16,[16] Bangladesh
Bangladesh,N_export,0.04094070196151733,3.9238781013232593,1246288,0.0035148459915537032,0.22559602993001424,Bad,Bad,16,[16] Bangladesh
Bangladesh,N_Ret_Ratio,-0.00139459630008786,0.09285878822060029,1098886,8.858224684183094e-5,-0.19467690233236012,Bad,Bad,16,[16] Bangladesh
Bangladesh,Nature_Access,-152.4532928466797,370473.8481395793,34582,1992.1980157006803,-0.1847892808013501,Bad,Bad,16,[16] Bangladesh
Bangladesh,Pollination,0.00977710168808698,0.10152994121924176,463779,1.490865946122497e-4,10.373272999906352,Good,Good,16,[16] Bangladesh
Bangladesh,Sed_export,-0.0260167233645916,1.860060636345464,1292884,0.0016358644764912823,-1.6289115555313374,Good,Good,16,[16] Bangladesh
Bangladesh,Sed_Ret_Ratio,1.8359608657192e-4,0.00699759109452855,1157943,6.5028684717720855e-6,0.020785358772952352,Good,Good,16,[16] Bangladesh
Barbados,C_Risk,0.0046771120947357,0.0323615427906665,179,0.0024188152737337557,0.1678717423875547,Bad,Bad,17,[17] Barbados
Barbados,C_Risk_Red_Ratio,-0.0017304196150472,0.0121065194191552,179,9.04883746495938e-4,-1.1055246730117114,Bad,Bad,17,[17] Barbados
Barbados,Nature_Access,-2788.800048828125,27466.495304205055,98,2774.5350121474085,-8.000001792885728,Bad,Bad,17,[17] Barbados
Belarus,N_export,0.03195071220397949,2.187797398264168,3465973,0.001175153271418209,-0.024851964158085205,Bad,Good,18,[18] Belarus
Belarus,N_Ret_Ratio,-0.00249405251815915,0.10933144532020005,3307716,6.0114741279346304e-5,-0.3037316484982143,Bad,Bad,18,[18] Belarus
Belarus,Nature_Access,3241.533935546875,107621.28612073908,51636,473.61111015291385,7.563829579240201,Good,Good,18,[18] Belarus
Belarus,Pollination,0.00678108446300029,0.3277577290904374,1885260,2.3870818757045588e-4,1.6123840356379964,Good,Good,18,[18] Belarus
Belarus,Sed_export,-0.00309859216213226,0.08627914678272992,3628508,4.529411717125828e-5,-3.6887984853461298,Good,Good,18,[18] Belarus
Belarus,Sed_Ret_Ratio,0.00107829528860747,0.01591328361473099,3413132,8.613571454300291e-6,0.11274061885361727,Good,Good,18,[18] Belarus
Belgium,C_Risk,0.008498599157646,0.0448493057105573,195,0.003211725490967176,0.3506679699260301,Bad,Bad,19,[19] Belgium
Belgium,C_Risk_Red_Ratio,-0.0035465784566776,0.0178220935228821,195,0.0012762666258257708,-5.528803041806145,Bad,Bad,19,[19] Belgium
Belgium,N_export,-0.995574951171875,7.873512471906369,473693,0.011439842262760354,-6.935945748673588,Good,Good,19,[19] Belgium
Belgium,N_Ret_Ratio,-0.00600939895957708,0.15767640207891295,446713,2.3591328925246123e-4,-0.7970079936779096,Bad,Bad,19,[19] Belgium
Belgium,Nature_Access,-18303.224609375,487326.55324132426,7682,5560.1041186019165,-2.9209975549966174,Bad,Bad,19,[19] Belgium
Belgium,Pollination,0.05699173733592033,0.41783559906867446,227840,8.753675688862488e-4,8.274211072584366,Good,Good,19,[19] Belgium
Belgium,Sed_export,-0.00666495505720377,0.8315883935036351,497058,0.0011795188485128469,-2.154830452934025,Good,Good,19,[19] Belgium
Belgium,Sed_Ret_Ratio,3.7401833105832e-4,0.01109864169093829,470859,1.617425898649573e-5,0.04063903401176459,Good,Good,19,[19] Belgium
